"date","Basque","another"
1955-01-01,3.85318463000527,3.54662963030373
1956-01-01,3.94565829615088,3.69044556954152
1957-01-01,4.03356173487263,3.82683499817574
1958-01-01,4.02342189689665,3.8756783776064
1959-01-01,4.01378196840523,3.92173673384055
1960-01-01,4.28591839622273,4.24178820002321
1961-01-01,4.57433609579741,4.57533547892566
1962-01-01,4.89895735356304,4.83804641196265
1963-01-01,5.19701498162913,5.08133409636867
1964-01-01,5.33890297875272,5.15809787814531
1965-01-01,5.46515300525185,5.22365052507319
1966-01-01,5.54591562706414,5.33247650503874
1967-01-01,5.61489572663949,5.42944892070458
1968-01-01,5.85218493307158,5.67437885353069
1969-01-01,6.08140541736959,5.91552394419117
1970-01-01,6.17009424134957,6.06683787193614
1971-01-01,6.28363340454625,6.22764920820614
1972-01-01,6.55555539865284,6.53906012902564
1973-01-01,6.81076856110308,6.83797505609446
1974-01-01,7.1051843028108,6.98736082380481
1975-01-01,7.37789168217563,7.12489302721544
1976-01-01,7.23293362192275,7.13538981886872
1977-01-01,7.08983137211913,7.1429590673591
1978-01-01,6.78670360714461,7.01935154409008
1979-01-01,6.6398173868571,7.01099691034147
1980-01-01,6.56283917136956,7.07883467098128
1981-01-01,6.50078545499277,7.1822335603611
1982-01-01,6.54505860699956,7.28720365609826
1983-01-01,6.59532980113941,7.3978863181948
1984-01-01,6.76149675009149,7.48429002846285
1985-01-01,6.93716067172772,7.5699798313763
1986-01-01,7.33219115130052,8.07769173930216
1987-01-01,7.74278812359415,8.58397583251883
1988-01-01,8.12053664075889,9.05741234228836
1989-01-01,8.50971116232416,9.52584975721223
1990-01-01,8.7767778890741,9.78506175969812
1991-01-01,9.02527866619582,10.0506998000571
1992-01-01,8.87389282470633,9.83790310748268
1993-01-01,8.71822353908928,9.62510728658999
1994-01-01,9.01813784928637,10.0064270838912
1995-01-01,9.44087386165337,10.33990288489
1996-01-01,9.68651813767495,10.5762637502566
1997-01-01,10.1706658728087,11.0454159442168
